ID,SMILES,Standard Relation,IC50,pIC50,bioactivity
CHEMBL1532258,COc1cccc(-n2c(S)nnc2CNC(=O)OC(C)(C)C)c1,'=',7834,5.11,active
CHEMBL1532571,Cc1nn(C)c(C)c1N1C(=O)c2cccc3c(Br)ccc(c23)C1=O,'=',5716,5.24,active
CHEMBL1532668,Nc1cc(Cl)c2nonc2c1[N+](=O)[O-],'>',49747,,inactive
CHEMBL1533279,O=C1C=C(c2ccc(Cl)cc2)C(=O)N1Nc1ccccc1,,12984,,inactive
CHEMBL1534296,O=C(O)c1ccccc1Sc1ncnc2sc3c(c12)CCC3,'=',3910,5.41,active
CHEMBL1534390,O=[N+]([O-])c1ccc(N2N=C(c3ccccc3)CC2c2ccccc2O)cc1,'=',4583,5.34,active
CHEMBL1534986,Cc1ccc(C(=O)O)cc1N1C(=O)c2cccc3c([N+](=O)[O-])ccc(c23)C1=O,'=',7410,5.13,active
CHEMBL1535546,CN1/C(=C/C(=O)c2nc(S(C)(=O)=O)ncc2Cl)C(C)(C)c2ccccc21,'=',6170,5.21,active
CHEMBL1535665,CCOC(=O)C1CCN(S(=O)(=O)c2c(Cl)ccc3nonc23)CC1,'=',21213,4.67,inactive
CHEMBL1535938,COc1ccc(CC2=CC(=O)c3ccccc3C2=O)cc1,,49748,,inactive
CHEMBL1537904,O=C(O)CC/C(=C\c1cc([N+](=O)[O-])ccc1Cl)c1nc2ccccc2s1,'=',4166,5.38,active
CHEMBL1537972,O=C(CSc1nnc(NC(=O)c2cc(Br)ccc2Cl)s1)NCC1CCCO1,'=',5872,5.23,active
CHEMBL1538097,Cc1ccc(-n2c(S)nnc2-c2nn(C)c(C)c2Cl)cc1,'=',3718,5.43,active
CHEMBL1538643,CCCCN(C)CC(O)Cn1cc(/C=C/C(=O)c2cccs2)c2ccccc21,'=',7668,5.12,active
CHEMBL1538815,C=C(c1cccc2ccccc12)P(=O)(O)O,'=',2165,5.67,active
CHEMBL1538987,CC(C)(C)c1ccc(-c2c(C(=O)O)c(C(=O)O)c3n2CSC3)cc1,'=',30576,4.51,inactive
CHEMBL1539486,CCOC(=O)c1ccc(NC(=O)Nc2ccon2)cc1,,49716,,inactive
CHEMBL1539520,COc1ccc(C(=O)/C=C/C(=O)N(CC(=O)NC2CCCCC2)Cc2cccs2)c(O)c1,,24738,,inactive
CHEMBL1539522,Cc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3C)ncc2Cl)cc1C,'=',11499,4.94,inactive
CHEMBL1540042,CCCCn1c(S)nnc1-c1ccoc1C,'=',4246,5.37,active
CHEMBL1540377,O=C(Cn1ncc(Cl)c(Cl)c1=O)N1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1,,49751,,inactive
CHEMBL1540557,CCC1(C)OC(c2ccccc2)=C/C(=C/C=C2C(=O)NC(=O)NC2=O)O1,'=',9166,5.04,active
CHEMBL1541211,COc1ccc(C(=O)C2=C(O)C(=O)N(Cc3ccco3)C2c2cc(OC)ccc2OC)cc1,'=',5610,5.25,active
CHEMBL1541441,COC(=O)[C@@H]1[C@@H](C(=O)OC)C2(c3ccccc3-c3ccccc32)N(c2ccc(Cl)cc2)N1C#N,,49756,,inactive
CHEMBL1541918,CC(=O)c1sc2nc(-c3ccc(C)cc3)c3c(c2c1N)CCCC3,'=',3730,5.43,active
CHEMBL1542492,CC(NC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])o1)c1ccccc1,'=',8233,5.08,active
CHEMBL1542862,Cc1ccc(C(=O)c2c(C)oc3c2C(=O)C(=O)c2ccccc2-3)cc1,,49690,,inactive
CHEMBL1542877,N=C1/C(=C\c2coc3ccccc3c2=O)C(=O)N=C2SC=CN12,'=',25498,4.59,inactive
CHEMBL1543839,O=C(OCn1ncc(Cl)c(Cl)c1=O)c1ccccc1Cl,'>',49768,,inactive
CHEMBL1543956,CCN(CC)c1ccc(/C=C/C(=O)C2C(=O)C=C(C)OC2=O)cc1,'=',4877,5.31,active
CHEMBL1544093,CCOC(=O)c1nc(S(C)(=O)=O)ncc1Cl,'=',22354,4.65,inactive
CHEMBL1544131,Cc1ccc(-n2ncc(Br)c(Br)c2=O)cc1,,49746,,inactive
CHEMBL1544423,CCc1ccc2c(c1)/C(=C/C(=O)c1cccs1)C(=O)N2,,49746,,inactive
CHEMBL1544797,COc1ccc(/C=C2\CN(Cc3ccccc3)C/C(=C\c3ccc(OC)c(O)c3)C2=O)cc1O,,49744,,inactive
CHEMBL1546134,CC1=NNC(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1cccs1,,49751,,inactive
CHEMBL1547938,O=C1c2cccc3c(O)ccc(c23)C(=O)N1Cc1ccco1,'=',13113,4.88,inactive
CHEMBL1548211,COc1ccccc1C(=O)Nc1nnc(SCC(=O)NCc2ccco2)s1,'=',2608,5.58,active
CHEMBL1548439,Cc1cccc(C)c1NC(=O)c1nc(S(=O)(=O)Cc2ccccc2)ncc1Cl,,49743,,inactive
CHEMBL1549144,CC(C)(C)CC(=O)Nc1nnc(SCC(=O)NCc2cccs2)s1,'=',6641,5.18,active
CHEMBL1550381,CC(=O)c1ccc(-c2ccc(Cn3c(C)nc4cc(N)c(C)nc43)cc2)cc1,'=',6285,5.2,active
CHEMBL1550406,CCOc1cc(/C=C2\COc3ccccc3C2=O)cc(Br)c1OCC(=O)N(C)C,,49751,,inactive
CHEMBL1551022,Cc1cc(C)n(-c2nc(SCC(=O)O)c3c4c(sc3n2)COC(C)(C)C4)n1,'=',9073,5.04,active
CHEMBL1554784,O=C(NCc1cccc(C(F)(F)F)c1)c1cccc2c1C(=O)c1ccc(N3CCC(Cc4ccccc4)CC3)cc1S2(=O)=O,'=',2919,5.54,active
CHEMBL1554968,Cc1cc(OCC(=O)N2CCC[C@@H]2C(=O)O)c2c(C)c(C)c(=O)oc2c1,'=',5308,5.28,active
CHEMBL1555532,N#Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1S(=O)(=O)Cc1ccccc1,'=',12055,4.92,inactive
CHEMBL1555759,CCCc1cc(=O)oc2c3c(cc(OCC(=O)N[C@@H](C)C(=O)O)c12)OC(C)(C)CC3,'=',6969,5.16,active
CHEMBL1556007,O=C(Nc1ccc(C(F)(F)F)cc1)c1ccc(NC(=O)C2CCCO2)cc1,'>',59640,,inactive
CHEMBL1556501,CCOC(=O)N=S(N)(=O)c1ccccc1,'=',4848,5.31,active
CHEMBL1556661,CC(C)(C=O)C1=CC(=O)c2ccccc2C1=O,,11486,,inactive
CHEMBL1556931,Sc1nnc(-c2ccccc2)n1CC1CCCO1,'=',4154,5.38,active
CHEMBL1557243,CC(C)n1cc(/C=C/c2cc[n+](C)cc2)c2ccccc21.[I-],'=',29038,4.54,inactive
CHEMBL1557268,CCOC(=O)c1c2c3c(cccc3n(C)c1=O)C(=O)c1ccccc1-2,'=',53721,4.27,inactive
CHEMBL1557347,CCCCn1c(S)nnc1-c1nn(C)cc1Cl,'=',1624,5.79,active
CHEMBL1557820,Clc1ccc(-n2nnnc2Sc2ncnc3sccc23)cc1,'>',49740,,inactive
CHEMBL1558250,CCCCn1c(S)nnc1-c1nn(C)c(C)c1Cl,'=',1993,5.7,active
CHEMBL1558462,CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(OC(F)F)cc2)n1,'=',6645,5.18,active
CHEMBL1559733,O=C(C1=C(O)C(=O)N(Cc2cccnc2)C1c1ccccn1)c1cccs1,'=',4829,5.32,active
CHEMBL1561395,O=C1N/C(=C/c2ccc(N3CCOCC3)o2)C(=O)N1c1cccc(Cl)c1,,21302,,inactive
CHEMBL1564153,O=C1c2cccc3c(N4CCCCC4)ccc(c23)C(=O)N1c1ccccc1O,'=',7631,5.12,active
CHEMBL1565378,CCCC(=O)Nc1nnc(SCC(=O)NCc2cccs2)s1,'=',4684,5.33,active
CHEMBL1565458,O=C1C2C(c3ccccc3)C=CC(c3ccccc3)C2C(=O)N1c1ccccn1,'=',59571,4.22,inactive
CHEMBL1566610,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@@H](OC(=O)CC(=O)O[C@H]3[C@@H]4C(=C)C(=O)O[C@@H]4C[C@@H](C)[C@@H]4C=CC(=O)[C@@]34C)[C@H]12,'=',17855,4.75,inactive
CHEMBL1566706,O=[N+]([O-])/C=C/c1cn(Cc2ccc(Cl)cc2)c2ccccc12,,49743,,inactive
CHEMBL1566835,COc1cc2c(cc1/C=C/[N+](=O)[O-])OCO2,,49710,,inactive
CHEMBL1567159,CN(CCO)c1cc(Sc2nc3ccccc3s2)c2nonc2c1[N+](=O)[O-],'=',8893,5.05,active
CHEMBL1570323,CC[C@H](C)/C=C(C)/C=C/C1=CC2=CC(=O)[C@]3(C)OC(=O)[C@@H](C(C)=O)[C@@H]3C2=CO1,'=',8858,5.05,active
CHEMBL1570958,CCC(=O)OCCNc1cc(Sc2nccn2C)c2nonc2c1[N+](=O)[O-],'=',8305,5.08,active
CHEMBL1571034,COc1cc(OC)c(-c2c3cc(O)c(=O)cc-3oc3cc(O)c(O)cc23)cc1OC,'=',5114,5.29,active
CHEMBL1571123,Cc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,'=',8301,5.08,active
CHEMBL1571290,O=C(NCc1cccnc1)/C(=C\c1ccc(-c2cccc(Cl)c2)o1)S(=O)(=O)c1ccccc1,,49751,,inactive
CHEMBL1571964,Cc1c(OCC(=O)N2CCC[C@@H]2C(=O)O)ccc2c3c(c(=O)oc12)CCC3,'=',5429,5.26,active
CHEMBL1572920,CC(=O)N1CCN(c2ccc(NC(=O)c3ccc([N+](=O)[O-])o3)cc2Cl)CC1,,49756,,inactive
CHEMBL1573007,O=[N+]([O-])c1ccc(-c2ccccc2)c([As](=O)(O)O)c1,'=',244.79,6.61,active
CHEMBL1573150,O=C(C1=NN(c2ccccc2)C2C(=O)N(c3ccc(Cl)cc3)C(=O)C12)c1ccccc1,'=',11830,4.93,inactive
CHEMBL1573201,O=[N+]([O-])/C=C\c1ccc(N2CCOCC2)cc1,,49771,,inactive
CHEMBL1573592,CC(=O)Oc1ccc(N2C(=O)c3cccc4c([N+](=O)[O-])ccc(c34)C2=O)cc1,'=',4057,5.39,active
CHEMBL1573854,O=C(C1=C(O)C(=O)N(Cc2cccnc2)C1c1ccccn1)c1ccc(F)cc1,'=',941,6.03,active
CHEMBL1574794,Cc1c(C)c2ccc(OCC(=O)N3CCC[C@@H]3C(=O)O)c(C)c2oc1=O,'=',2089,5.68,active
CHEMBL1574879,COc1ccc(NC(=O)/C(Cl)=C(/Cl)[S+]([O-])Cc2ccccc2)cn1,'=',16000,4.8,inactive
CHEMBL1575428,Cc1ccc(Cl)c(NC(=O)COC(=O)c2ccccc2C(=O)c2ccc(Cl)c([N+](=O)[O-])c2)c1Cl,'>',49760,,inactive
CHEMBL1575594,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C4OC4C(=O)[C@@]3(C)[C@@H](O)[C@H]12,'>',49739,,inactive
CHEMBL1576713,Cn1c(S)nnc1-c1sccc1OCc1ccc(Cl)cc1Cl,'=',774,6.11,active
CHEMBL1576762,Cc1n[nH]c(C)c1N1C(=O)c2cccc3c(N4CCCCCC4)ccc(c23)C1=O,'=',15509,4.81,inactive
CHEMBL1577281,O=P(O)(O)c1ccccc1OCc1ccccc1,'=',689,6.16,active
CHEMBL1577867,O=C(O)C(NC(=O)c1ccccc1)=C(Cl)Cl,'=',7851,5.11,active
CHEMBL1578341,CCOC(=O)COc1ccc2ccccc2c1/C=C/[N+](=O)[O-],'=',30467,4.52,inactive
CHEMBL1578600,Oc1nc2c(s1)C(c1cccnc1)C1C3CCC(C3)C1S2,'=',33.94,7.47,active
CHEMBL1578982,Cc1ccc(S(=O)(=O)N[C@H](C(=O)Oc2ccc3c(C(F)(F)F)cc(=O)oc3c2)c2ccccc2)cc1,'=',3732,5.43,active
CHEMBL1579061,CN(C)C=O.CN(C)c1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2ccc(C(=O)O)cc2)cc1,'=',9002,5.05,active
CHEMBL1579152,N#CC(C#N)=C1C=CC=CN1/C(=C\c1ccco1)C(=O)c1ccc(-c2ccccc2)cc1,,49771,,inactive
CHEMBL1579462,O=C(O)/C=C/c1nnc2c3ccccc3cnn12,'=',4442,5.35,active
CHEMBL1580134,COc1ccc(C(=O)/C=C2/C(=O)Nc3ccccc32)c(OC)c1,,49743,,inactive
CHEMBL1582196,CC(C)C(CCN1C(=O)c2ccccc2C1=O)c1ccco1,'=',13428,4.87,inactive
CHEMBL1583665,CCOc1ccc(/C=C/[N+](=O)[O-])c2ccccc12,,43127,,inactive
CHEMBL1583872,N#CC(C#N)=C1C=C2C=C(N3CCCCC3)CCC2CC1,'=',2331,5.63,active
CHEMBL1583960,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,'=',38774,4.41,inactive
CHEMBL1583998,O=C1N=C(NS(=O)(=O)Cc2ccccc2)S/C1=C/c1cc([N+](=O)[O-])ccc1O,'=',4369,5.36,active
CHEMBL1584189,Sc1nnc(-c2ccco2)n1-c1cccc2ccccc12,'=',3966,5.4,active
CHEMBL1585390,CNc1cc(Cl)c2nonc2c1[N+](=O)[O-],'=',4730,5.33,active
CHEMBL1585742,O=C(NCc1ccc2c(c1)OCO2)c1nc(S(=O)(=O)Cc2ccccc2)ncc1Cl,,32535,,inactive
CHEMBL1586067,O=C1c2cccc3c(N4CCCCC4)ccc(c23)C(=O)N1c1cccc(O)c1,'=',5239,5.28,active
CHEMBL1586425,CNC(=O)c1nnsc1S(=O)(=O)c1ccc(Cl)cc1,,11345,,inactive
CHEMBL1587451,O=C(CSc1nnc(NC(=O)c2c(F)cccc2F)s1)NCc1ccccc1,'=',3622,5.44,active
CHEMBL1587764,Cc1ccccc1N1C(=O)CC(Sc2nnc(-c3ccccc3)o2)C1=O,,12702,,inactive
CHEMBL1588411,Cc1nnc(Sc2cc(NCCCO)c([N+](=O)[O-])c3nonc23)s1,'=',10948,4.96,inactive
CHEMBL1589062,COc1ccc(Cn2cc3c(-c4ccc(F)cc4)nnc-3c3cc(OC)c(OC)cc32)cc1,'=',5584,5.25,active
CHEMBL1591156,Cc1cc(=O)oc2c3c(cc(OCC(=O)N4CCC[C@H]4C(=O)O)c12)OC(C)(C)CC3,'=',4931,5.31,active
CHEMBL1594123,CCCc1cc(=O)oc2c3c(cc(OCC(=O)N4CCC[C@H]4C(=O)O)c12)OC(C)(C)CC3,'=',1725,5.76,active
CHEMBL1596878,CC1=C(C(=O)O)N2C(=O)C(NC(=O)c3nn(C)cc3[N+](=O)[O-])C2SC1,'=',8541,5.07,active
CHEMBL1597507,O=C(CCN1C(=O)/C(=C/c2ccccc2F)SC1=S)NCCCn1ccnc1,'=',4494,5.35,active
CHEMBL1597682,O=C(CCN1C(=O)/C(=C/c2ccc(Cl)cc2)SC1=S)NCCCn1ccnc1,'>',59640,,inactive
CHEMBL1603777,CCOC(=O)c1[nH]c(C(=O)O)c(CCC(=O)OC)c1C,'=',4995,5.3,active
CHEMBL1604510,COc1ccc(/C=C2/SC(c3ccc(C)cc3)=NC2=O)cc1OC,'>',59640,,inactive
CHEMBL1604546,CC1(C)CC(=O)C2=C(C1)OC1=C(C(=O)CC(C)(C)C1)C2c1ccc(O)cc1O,,49732,,inactive
CHEMBL1604962,N#CC(C#N)=C1C=C2C=C(N3CCOCC3)CCC2CC1,'=',2741,5.56,active
CHEMBL1605743,O=c1ccc2c(-c3ccccc3)c3ccc(O)cc3oc-2c1,'=',374.22,6.43,active
CHEMBL1605748,O=C(O)c1ccccc1C(=O)c1cccc2ccccc12,'=',3823,5.42,active
CHEMBL1605956,CCOC(=O)c1ccc(NC(=O)Cn2ncc(Cl)c(Cl)c2=O)cc1,,49745,,inactive
CHEMBL1606520,Cc1ccccc1C(=O)Nc1nnc(SCC(=O)NCc2ccco2)s1,'=',1116,5.95,active
CHEMBL1606613,COc1ccccc1-c1cc(C(F)(F)F)nc(S(C)(=O)=O)n1,,49751,,inactive
CHEMBL1606773,CCOc1cc2c(cc1/C=C/c1noc(C)c1[N+](=O)[O-])OC(C)C2,'>',59640,,inactive
CHEMBL1606872,CCCCn1c(S)nnc1-c1sccc1C,'=',961,6.02,active
CHEMBL1607132,CCC(=O)c1ccc(/C=C/c2nc3ccccc3n2C)o1,'=',5112,5.29,active
CHEMBL1607380,COc1ccc(/C=C2\CCCc3c2nc2ccccc2c3C(=O)O)cc1OC,'=',56050,4.25,inactive
CHEMBL1608392,CN(c1ccccc1)c1ccc(/C=C/[N+](=O)[O-])cc1,'=',18635,4.73,inactive
CHEMBL1608420,COc1ccccc1N1C(=O)C2C(C(=O)c3ccccc3)=NN(c3ccccc3)C2C1=O,'=',9371,5.03,active
CHEMBL1609419,CC(=O)OCCNc1cc(Sc2nc3ccccc3[nH]2)c2nonc2c1[N+](=O)[O-],'=',10026,5,inactive
CHEMBL1610025,CCC(=O)OCCNc1cc(Sc2nc3ccccc3s2)c2nonc2c1[N+](=O)[O-],'=',10472,4.98,inactive
CHEMBL1610243,Cc1cc(C(=O)OCC(=O)NC(=O)c2cccn2C)c2ccccc2n1,'=',2296,5.64,active
CHEMBL1611002,CCN(CC)c1ccc2cc(-c3nnc(-c4ccccc4)o3)c(=O)oc2c1,'>',59640,,inactive
CHEMBL1611182,O=[N+]([O-])c1c(Nc2cccc(O)c2)cc(Cl)c2nonc12,'=',11191,4.95,inactive
CHEMBL1612634,COc1ccc(C(C[N+](=O)[O-])n2nc(C)cc2C)cc1,,49751,,inactive
CHEMBL1613445,CCc1ccc2nc(N(CCCN(C)C)C(=O)c3ccc(S(=O)(=O)N4CCc5ccccc5C4)cc3)sc2c1.Cl,,49746,,inactive
CHEMBL167542,Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,'=',6367,5.2,active
CHEMBL1688693,Cc1cc2nc(/C=C/c3nc4cc(C)c(C)cc4[nH]3)[nH]c2cc1C,'=',20865,4.68,inactive
CHEMBL1698008,Cc1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])o2)cc1,'=',11190,4.95,inactive
CHEMBL1698608,CC(=NNC(=S)N1CCN(c2ccccn2)CC1)c1nccs1,'>',49782,,inactive
CHEMBL1698845,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccc(N(CC)CC)cc2)cc1.[Cl-],,10805,,inactive
CHEMBL1699845,O=C1C(Cl)=C(Oc2ccccc2)C(=O)c2ccccc21,'=',10161,4.99,inactive
CHEMBL1700000,Cn1cnc([N+](=O)[O-])c1S(=O)(=O)Oc1cccc2ccccc12,,49740,,inactive
CHEMBL1700347,CC1=CC2OC3CC4OC(=O)C=CC=CC(=O)OCCC(C)C(O)C(=O)OCC2(CC1O)C4(C)C31CO1,,49729,,inactive
CHEMBL1701517,O=S(=O)(/C=C/C=C/S(=O)(=O)c1ccccc1)c1ccccc1,'>',49760,,inactive
CHEMBL1702031,CC(C)(C)NCC(=Cc1ccccc1)C(=O)c1ccccc1,,49851,,inactive
CHEMBL1702693,CN(C)CCC(=O)C(Cc1ccccc1)c1ccccc1.Cl,,49781,,inactive
CHEMBL1703189,O=c1c2cc([N+](=O)[O-])ccc2sn1-c1ccccc1,'>',49700,,inactive
CHEMBL1703200,O=c1c2ccc(F)cc2sn1-c1ccccc1,,23408,,inactive
CHEMBL1703795,CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,,49791,,inactive
CHEMBL1703892,O=C1/C(=C\c2ccc([N+](=O)[O-])cc2)CS(=O)(=O)C/C1=C/c1ccc([N+](=O)[O-])cc1,,36398,,inactive
CHEMBL1704261,CCCC(=O)NC1=C(Cl)C(=O)c2ccccc2C1=O,'=',6778,5.17,active
CHEMBL1704703,O=C1C=CC2(C=C1)O[C@H](Cc1ccccc1)[C@@H](Cc1ccccc1)O2,'=',21753,4.66,inactive
CHEMBL1705093,CCOC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1Sc1[nH]cnc2ncnc1-2,,49687,,inactive
CHEMBL1705207,O=C(Cn1sc2ccccc2c1=O)Nc1ccc(Cl)cc1,,49746,,inactive
CHEMBL1705256,COc1ccc(CC2C(=O)NC(C)C(=O)N(C)C3Cc4ccc(cc4)Oc4cc(ccc4O)CC(C(=O)NC(C)C(=O)NC(C)C(=O)N2C)N(C)C3=O)cc1,,49751,,inactive
CHEMBL1705527,COc1cc2oc3cc(C#Cc4ccc(N)cc4)ccc3c(=O)c2cc1OC,'=',3598,5.44,active
CHEMBL1706548,CC(=O)Nc1ccc2c(=O)n(-c3ccccc3)sc2c1,'=',14397,4.84,inactive
CHEMBL1707429,Cc1ccc(S(=O)(=O)C=CS(=O)(=O)c2ccc(C)cc2)cc1,'=',13616,4.87,inactive
CHEMBL1708074,COC(=O)C1=C(C(=O)OC)SC2(S1)C(C(=O)OC)=C(C(=O)OC)Sc1c2ssc1=O,,14114,,inactive
CHEMBL1709419,O=C(Cn1sc2ccccc2c1=O)Nc1ccc(F)cc1,,19343,,inactive
CHEMBL1710136,Cc1cc2[nH]c3c4ccccc4nc(C)c3c2cc1C,,23631,,inactive
CHEMBL1710429,Cc1[nH]c2ccccc2c1C1=CC(=O)C=CC1=O,,19927,,inactive
CHEMBL1710471,Cl.O=C1/C(=C/c2ccccc2)CN(C(=O)CCN2CCOCC2)C/C1=C\c1ccccc1,,49687,,inactive
CHEMBL1710798,CC(=O)Nc1ccc2sn(-c3ccccc3)c(=O)c2c1,,23425,,inactive
CHEMBL1710816,COc1cc(N2C(=O)C=CC2=O)ccc1N1C(=O)C=CC1=O,'=',10979,4.96,inactive
